sample_id,domain,ground_truth,p3_score,p3_category,semantic_variance
phy_0355,Physics,0,0.0653,HIGH_CONSISTENCY_TRUE,0.0653
phy_0356,Physics,1,0.2255,INCONSISTENT_HALLUCINATION,0.2255
phy_0357,Physics,0,0.2975,INCONSISTENT_TRUE,0.2975
phy_0358,Physics,1,0.117,CONSISTENT_HALLUCINATION,0.117
phy_0359,Physics,0,0.1086,HIGH_CONSISTENCY_TRUE,0.1086
phy_0360,Physics,1,0.0795,CONSISTENT_HALLUCINATION,0.0795
phy_0361,Physics,0,0.3188,INCONSISTENT_TRUE,0.3188
phy_0362,Physics,1,0.0697,CONSISTENT_HALLUCINATION,0.0697
phy_0363,Physics,0,0.1334,HIGH_CONSISTENCY_TRUE,0.1334
phy_0364,Physics,1,0.0656,CONSISTENT_HALLUCINATION,0.0656
phy_0365,Physics,0,0.2119,INCONSISTENT_TRUE,0.2119
phy_0366,Physics,1,0.259,INCONSISTENT_HALLUCINATION,0.259
phy_0367,Physics,0,0.0996,HIGH_CONSISTENCY_TRUE,0.0996
phy_0368,Physics,1,0.0443,CONSISTENT_HALLUCINATION,0.0443
phy_0369,Physics,0,0.1949,HIGH_CONSISTENCY_TRUE,0.1949
phy_0370,Physics,1,0.4462,INCONSISTENT_HALLUCINATION,0.4462
phy_0371,Physics,0,0.0947,HIGH_CONSISTENCY_TRUE,0.0947
phy_0372,Physics,1,0.1833,CONSISTENT_HALLUCINATION,0.1833
phy_0373,Physics,0,0.3282,INCONSISTENT_TRUE,0.3282
phy_0374,Physics,1,0.0883,CONSISTENT_HALLUCINATION,0.0883
phy_0375,Physics,0,0.1152,HIGH_CONSISTENCY_TRUE,0.1152
phy_0376,Physics,1,0.0558,CONSISTENT_HALLUCINATION,0.0558
phy_0377,Physics,0,0.3081,INCONSISTENT_TRUE,0.3081
phy_0378,Physics,1,0.3445,INCONSISTENT_HALLUCINATION,0.3445
phy_0379,Physics,0,0.1299,HIGH_CONSISTENCY_TRUE,0.1299
phy_0380,Physics,1,0.0444,CONSISTENT_HALLUCINATION,0.0444
phy_0381,Physics,0,0.351,INCONSISTENT_TRUE,0.351
phy_0382,Physics,1,0.1384,CONSISTENT_HALLUCINATION,0.1384
phy_0383,Physics,0,0.0756,HIGH_CONSISTENCY_TRUE,0.0756
phy_0384,Physics,1,0.0672,CONSISTENT_HALLUCINATION,0.0672
phy_0385,Physics,0,0.3238,INCONSISTENT_TRUE,0.3238
phy_0386,Physics,1,0.3349,INCONSISTENT_HALLUCINATION,0.3349
phy_0387,Physics,0,0.1405,HIGH_CONSISTENCY_TRUE,0.1405
phy_0388,Physics,1,0.0604,CONSISTENT_HALLUCINATION,0.0604
phy_0389,Physics,0,0.1798,HIGH_CONSISTENCY_TRUE,0.1798
phy_0390,Physics,1,0.4811,INCONSISTENT_HALLUCINATION,0.4811
phy_0391,Physics,0,0.0426,HIGH_CONSISTENCY_TRUE,0.0426
phy_0392,Physics,1,0.0772,CONSISTENT_HALLUCINATION,0.0772
phy_0393,Physics,0,0.2162,INCONSISTENT_TRUE,0.2162
phy_0394,Physics,1,0.2648,INCONSISTENT_HALLUCINATION,0.2648
phy_0395,Physics,0,0.1224,HIGH_CONSISTENCY_TRUE,0.1224
phy_0396,Physics,1,0.1809,CONSISTENT_HALLUCINATION,0.1809
phy_0397,Physics,0,0.27,INCONSISTENT_TRUE,0.27
phy_0398,Physics,1,0.3196,INCONSISTENT_HALLUCINATION,0.3196
phy_0399,Physics,0,0.0777,HIGH_CONSISTENCY_TRUE,0.0777
phy_0400,Physics,1,0.1955,CONSISTENT_HALLUCINATION,0.1955
bio_0401,Biology,0,0.0467,HIGH_CONSISTENCY_TRUE,0.0467
bio_0402,Biology,1,0.0958,CONSISTENT_HALLUCINATION,0.0958
bio_0403,Biology,0,0.0889,HIGH_CONSISTENCY_TRUE,0.0889
bio_0404,Biology,1,0.0928,CONSISTENT_HALLUCINATION,0.0928
bio_0405,Biology,0,0.0691,HIGH_CONSISTENCY_TRUE,0.0691
bio_0406,Biology,1,0.1035,CONSISTENT_HALLUCINATION,0.1035
bio_0407,Biology,0,0.0881,HIGH_CONSISTENCY_TRUE,0.0881
bio_0408,Biology,1,0.1051,CONSISTENT_HALLUCINATION,0.1051
bio_0409,Biology,0,0.0191,HIGH_CONSISTENCY_TRUE,0.0191
bio_0410,Biology,1,0.106,CONSISTENT_HALLUCINATION,0.106
bio_0411,Biology,0,0.0962,HIGH_CONSISTENCY_TRUE,0.0962
bio_0412,Biology,1,0.1188,CONSISTENT_HALLUCINATION,0.1188
bio_0413,Biology,0,0.0883,HIGH_CONSISTENCY_TRUE,0.0883
bio_0414,Biology,1,0.0922,CONSISTENT_HALLUCINATION,0.0922
bio_0415,Biology,0,0.0944,HIGH_CONSISTENCY_TRUE,0.0944
bio_0416,Biology,1,0.1037,CONSISTENT_HALLUCINATION,0.1037
bio_0417,Biology,0,0.0613,HIGH_CONSISTENCY_TRUE,0.0613
bio_0418,Biology,1,0.1284,CONSISTENT_HALLUCINATION,0.1284
bio_0419,Biology,0,0.1202,HIGH_CONSISTENCY_TRUE,0.1202
bio_0420,Biology,1,0.3026,INCONSISTENT_HALLUCINATION,0.3026
bio_0421,Biology,0,0.0199,HIGH_CONSISTENCY_TRUE,0.0199
bio_0422,Biology,1,0.1036,CONSISTENT_HALLUCINATION,0.1036
bio_0423,Biology,0,0.1193,HIGH_CONSISTENCY_TRUE,0.1193
bio_0424,Biology,1,0.2743,INCONSISTENT_HALLUCINATION,0.2743
bio_0425,Biology,0,0.0502,HIGH_CONSISTENCY_TRUE,0.0502
bio_0426,Biology,1,0.0845,CONSISTENT_HALLUCINATION,0.0845
bio_0427,Biology,0,0.0873,HIGH_CONSISTENCY_TRUE,0.0873
bio_0428,Biology,1,0.0984,CONSISTENT_HALLUCINATION,0.0984
bio_0429,Biology,0,0.0643,HIGH_CONSISTENCY_TRUE,0.0643
bio_0430,Biology,1,0.0942,CONSISTENT_HALLUCINATION,0.0942
bio_0431,Biology,0,0.0968,HIGH_CONSISTENCY_TRUE,0.0968
bio_0432,Biology,1,0.1728,CONSISTENT_HALLUCINATION,0.1728
bio_0433,Biology,0,0.0757,HIGH_CONSISTENCY_TRUE,0.0757
bio_0434,Biology,1,0.0947,CONSISTENT_HALLUCINATION,0.0947
bio_0435,Biology,0,0.1436,HIGH_CONSISTENCY_TRUE,0.1436
bio_0436,Biology,1,0.0,CONSISTENT_HALLUCINATION,0.0
bio_0437,Biology,0,0.0747,HIGH_CONSISTENCY_TRUE,0.0747
bio_0438,Biology,1,0.113,CONSISTENT_HALLUCINATION,0.113
bio_0439,Biology,0,0.1134,HIGH_CONSISTENCY_TRUE,0.1134
bio_0440,Biology,1,0.3112,INCONSISTENT_HALLUCINATION,0.3112
bio_0441,Biology,0,0.0596,HIGH_CONSISTENCY_TRUE,0.0596
bio_0442,Biology,1,0.1165,CONSISTENT_HALLUCINATION,0.1165
bio_0443,Biology,0,0.138,HIGH_CONSISTENCY_TRUE,0.138
bio_0444,Biology,1,0.2168,INCONSISTENT_HALLUCINATION,0.2168
bio_0445,Biology,0,0.0615,HIGH_CONSISTENCY_TRUE,0.0615
bio_0446,Biology,1,0.1133,CONSISTENT_HALLUCINATION,0.1133
bio_0447,Biology,0,0.1134,HIGH_CONSISTENCY_TRUE,0.1134
bio_0448,Biology,1,0.0973,CONSISTENT_HALLUCINATION,0.0973
bio_0449,Biology,0,0.0403,HIGH_CONSISTENCY_TRUE,0.0403
bio_0450,Biology,1,0.0742,CONSISTENT_HALLUCINATION,0.0742
che_0451,Chemistry,0,0.0975,HIGH_CONSISTENCY_TRUE,0.0975
che_0452,Chemistry,1,0.2029,INCONSISTENT_HALLUCINATION,0.2029
che_0453,Chemistry,0,0.4968,INCONSISTENT_TRUE,0.4968
che_0454,Chemistry,1,0.212,INCONSISTENT_HALLUCINATION,0.212
che_0455,Chemistry,0,0.1117,HIGH_CONSISTENCY_TRUE,0.1117
che_0456,Chemistry,1,0.1734,CONSISTENT_HALLUCINATION,0.1734
che_0457,Chemistry,0,0.0412,HIGH_CONSISTENCY_TRUE,0.0412
che_0458,Chemistry,1,0.4058,INCONSISTENT_HALLUCINATION,0.4058
che_0459,Chemistry,0,0.1763,HIGH_CONSISTENCY_TRUE,0.1763
che_0460,Chemistry,1,0.0594,CONSISTENT_HALLUCINATION,0.0594
che_0461,Chemistry,0,0.3461,INCONSISTENT_TRUE,0.3461
che_0462,Chemistry,1,0.1678,CONSISTENT_HALLUCINATION,0.1678
che_0463,Chemistry,0,0.2532,INCONSISTENT_TRUE,0.2532
che_0464,Chemistry,1,0.0623,CONSISTENT_HALLUCINATION,0.0623
che_0465,Chemistry,0,0.4257,INCONSISTENT_TRUE,0.4257
che_0466,Chemistry,1,0.0698,CONSISTENT_HALLUCINATION,0.0698
che_0467,Chemistry,0,0.1395,HIGH_CONSISTENCY_TRUE,0.1395
che_0468,Chemistry,1,0.221,INCONSISTENT_HALLUCINATION,0.221
che_0469,Chemistry,0,0.1991,HIGH_CONSISTENCY_TRUE,0.1991
che_0470,Chemistry,1,0.0377,CONSISTENT_HALLUCINATION,0.0377
che_0471,Chemistry,0,0.1083,HIGH_CONSISTENCY_TRUE,0.1083
che_0472,Chemistry,1,0.049,CONSISTENT_HALLUCINATION,0.049
che_0473,Chemistry,0,0.0357,HIGH_CONSISTENCY_TRUE,0.0357
che_0474,Chemistry,1,0.2067,INCONSISTENT_HALLUCINATION,0.2067
che_0475,Chemistry,0,0.1401,HIGH_CONSISTENCY_TRUE,0.1401
che_0476,Chemistry,1,0.0778,CONSISTENT_HALLUCINATION,0.0778
che_0477,Chemistry,0,0.2699,INCONSISTENT_TRUE,0.2699
che_0478,Chemistry,1,0.0434,CONSISTENT_HALLUCINATION,0.0434
che_0479,Chemistry,0,0.2074,INCONSISTENT_TRUE,0.2074
che_0480,Chemistry,1,0.1708,CONSISTENT_HALLUCINATION,0.1708
che_0481,Chemistry,0,0.0806,HIGH_CONSISTENCY_TRUE,0.0806
che_0482,Chemistry,1,0.0523,CONSISTENT_HALLUCINATION,0.0523
che_0483,Chemistry,0,0.1492,HIGH_CONSISTENCY_TRUE,0.1492
che_0484,Chemistry,1,0.0942,CONSISTENT_HALLUCINATION,0.0942
che_0485,Chemistry,0,0.0361,HIGH_CONSISTENCY_TRUE,0.0361
che_0486,Chemistry,1,0.1661,CONSISTENT_HALLUCINATION,0.1661
che_0487,Chemistry,0,0.186,HIGH_CONSISTENCY_TRUE,0.186
che_0488,Chemistry,1,0.2136,INCONSISTENT_HALLUCINATION,0.2136
che_0489,Chemistry,0,0.0142,HIGH_CONSISTENCY_TRUE,0.0142
che_0490,Chemistry,1,0.3896,INCONSISTENT_HALLUCINATION,0.3896
che_0491,Chemistry,0,0.1606,HIGH_CONSISTENCY_TRUE,0.1606
che_0492,Chemistry,1,0.2487,INCONSISTENT_HALLUCINATION,0.2487
che_0493,Chemistry,0,0.0285,HIGH_CONSISTENCY_TRUE,0.0285
che_0494,Chemistry,1,0.0634,CONSISTENT_HALLUCINATION,0.0634
che_0495,Chemistry,0,0.1301,HIGH_CONSISTENCY_TRUE,0.1301
che_0496,Chemistry,1,0.2821,INCONSISTENT_HALLUCINATION,0.2821
che_0497,Chemistry,0,0.0069,HIGH_CONSISTENCY_TRUE,0.0069
che_0498,Chemistry,1,0.1862,CONSISTENT_HALLUCINATION,0.1862
che_0499,Chemistry,0,0.1207,HIGH_CONSISTENCY_TRUE,0.1207
che_0500,Chemistry,1,0.1813,CONSISTENT_HALLUCINATION,0.1813
new_0501,News,0,0.068,HIGH_CONSISTENCY_TRUE,0.068
new_0502,News,1,0.0917,CONSISTENT_HALLUCINATION,0.0917
new_0503,News,0,0.0465,HIGH_CONSISTENCY_TRUE,0.0465
new_0504,News,1,0.0856,CONSISTENT_HALLUCINATION,0.0856
new_0505,News,0,0.0848,HIGH_CONSISTENCY_TRUE,0.0848
new_0506,News,1,0.0736,CONSISTENT_HALLUCINATION,0.0736
new_0507,News,0,0.0528,HIGH_CONSISTENCY_TRUE,0.0528
new_0508,News,1,0.0742,CONSISTENT_HALLUCINATION,0.0742
new_0509,News,0,0.1203,HIGH_CONSISTENCY_TRUE,0.1203
new_0510,News,1,0.0607,CONSISTENT_HALLUCINATION,0.0607
new_0511,News,0,0.0678,HIGH_CONSISTENCY_TRUE,0.0678
new_0512,News,1,0.0863,CONSISTENT_HALLUCINATION,0.0863
new_0513,News,0,0.0852,HIGH_CONSISTENCY_TRUE,0.0852
new_0514,News,1,0.1205,CONSISTENT_HALLUCINATION,0.1205
new_0515,News,0,0.0642,HIGH_CONSISTENCY_TRUE,0.0642
new_0516,News,1,0.0688,CONSISTENT_HALLUCINATION,0.0688
new_0517,News,0,0.0916,HIGH_CONSISTENCY_TRUE,0.0916
new_0518,News,1,0.2489,INCONSISTENT_HALLUCINATION,0.2489
new_0519,News,0,0.08,HIGH_CONSISTENCY_TRUE,0.08
new_0520,News,1,0.0755,CONSISTENT_HALLUCINATION,0.0755
new_0521,News,0,0.0988,HIGH_CONSISTENCY_TRUE,0.0988
new_0522,News,1,0.0937,CONSISTENT_HALLUCINATION,0.0937
new_0523,News,0,0.0811,HIGH_CONSISTENCY_TRUE,0.0811
new_0524,News,1,0.0904,CONSISTENT_HALLUCINATION,0.0904
new_0525,News,0,0.0655,HIGH_CONSISTENCY_TRUE,0.0655
new_0526,News,1,0.1112,CONSISTENT_HALLUCINATION,0.1112
new_0527,News,0,0.0815,HIGH_CONSISTENCY_TRUE,0.0815
new_0528,News,1,0.0768,CONSISTENT_HALLUCINATION,0.0768
new_0529,News,0,0.0652,HIGH_CONSISTENCY_TRUE,0.0652
new_0530,News,1,0.1127,CONSISTENT_HALLUCINATION,0.1127
new_0531,News,0,0.0735,HIGH_CONSISTENCY_TRUE,0.0735
new_0532,News,1,0.0581,CONSISTENT_HALLUCINATION,0.0581
new_0533,News,0,0.0696,HIGH_CONSISTENCY_TRUE,0.0696
new_0534,News,1,0.0693,CONSISTENT_HALLUCINATION,0.0693
new_0535,News,0,0.0622,HIGH_CONSISTENCY_TRUE,0.0622
new_0536,News,1,0.0978,CONSISTENT_HALLUCINATION,0.0978
new_0537,News,0,0.0742,HIGH_CONSISTENCY_TRUE,0.0742
new_0538,News,1,0.054,CONSISTENT_HALLUCINATION,0.054
new_0539,News,0,0.0927,HIGH_CONSISTENCY_TRUE,0.0927
new_0540,News,1,0.1016,CONSISTENT_HALLUCINATION,0.1016
new_0541,News,0,0.0782,HIGH_CONSISTENCY_TRUE,0.0782
new_0542,News,1,0.0476,CONSISTENT_HALLUCINATION,0.0476
new_0543,News,0,0.0568,HIGH_CONSISTENCY_TRUE,0.0568
new_0544,News,1,0.0766,CONSISTENT_HALLUCINATION,0.0766
new_0545,News,0,0.1623,HIGH_CONSISTENCY_TRUE,0.1623
new_0546,News,1,0.0824,CONSISTENT_HALLUCINATION,0.0824
new_0547,News,0,0.0,HIGH_CONSISTENCY_TRUE,0.0
new_0548,News,1,0.0804,CONSISTENT_HALLUCINATION,0.0804
new_0549,News,0,0.1139,HIGH_CONSISTENCY_TRUE,0.1139
new_0550,News,1,0.0676,CONSISTENT_HALLUCINATION,0.0676
mat_0551,Mathematics,0,0.4304,INCONSISTENT_TRUE,0.4304
mat_0552,Mathematics,1,0.0,CONSISTENT_HALLUCINATION,0.0
mat_0553,Mathematics,0,0.1363,HIGH_CONSISTENCY_TRUE,0.1363
mat_0554,Mathematics,1,0.2069,INCONSISTENT_HALLUCINATION,0.2069
mat_0555,Mathematics,0,0.2073,INCONSISTENT_TRUE,0.2073
mat_0556,Mathematics,1,0.0,CONSISTENT_HALLUCINATION,0.0
mat_0557,Mathematics,0,0.161,HIGH_CONSISTENCY_TRUE,0.161
mat_0558,Mathematics,1,0.1837,CONSISTENT_HALLUCINATION,0.1837
mat_0559,Mathematics,0,0.2284,INCONSISTENT_TRUE,0.2284
mat_0560,Mathematics,1,0.0,CONSISTENT_HALLUCINATION,0.0
mat_0561,Mathematics,0,0.0876,HIGH_CONSISTENCY_TRUE,0.0876
mat_0562,Mathematics,1,0.0622,CONSISTENT_HALLUCINATION,0.0622
mat_0563,Mathematics,0,0.1454,HIGH_CONSISTENCY_TRUE,0.1454
mat_0564,Mathematics,1,0.0,CONSISTENT_HALLUCINATION,0.0
mat_0565,Mathematics,0,0.1009,HIGH_CONSISTENCY_TRUE,0.1009
mat_0566,Mathematics,1,0.0708,CONSISTENT_HALLUCINATION,0.0708
mat_0567,Mathematics,0,0.0616,HIGH_CONSISTENCY_TRUE,0.0616
mat_0568,Mathematics,1,0.2479,INCONSISTENT_HALLUCINATION,0.2479
mat_0569,Mathematics,0,0.107,HIGH_CONSISTENCY_TRUE,0.107
mat_0570,Mathematics,1,0.0302,CONSISTENT_HALLUCINATION,0.0302
mat_0571,Mathematics,0,0.106,HIGH_CONSISTENCY_TRUE,0.106
mat_0572,Mathematics,1,0.33,INCONSISTENT_HALLUCINATION,0.33
mat_0573,Mathematics,0,0.1403,HIGH_CONSISTENCY_TRUE,0.1403
mat_0574,Mathematics,1,0.0306,CONSISTENT_HALLUCINATION,0.0306
mat_0575,Mathematics,0,0.161,HIGH_CONSISTENCY_TRUE,0.161
mat_0576,Mathematics,1,0.0,CONSISTENT_HALLUCINATION,0.0
mat_0577,Mathematics,0,0.1085,HIGH_CONSISTENCY_TRUE,0.1085
mat_0578,Mathematics,1,0.0911,CONSISTENT_HALLUCINATION,0.0911
mat_0579,Mathematics,0,0.0641,HIGH_CONSISTENCY_TRUE,0.0641
mat_0580,Mathematics,1,0.1237,CONSISTENT_HALLUCINATION,0.1237
mat_0581,Mathematics,0,0.0558,HIGH_CONSISTENCY_TRUE,0.0558
mat_0582,Mathematics,1,0.0819,CONSISTENT_HALLUCINATION,0.0819
mat_0583,Mathematics,0,0.1283,HIGH_CONSISTENCY_TRUE,0.1283
mat_0584,Mathematics,1,0.0,CONSISTENT_HALLUCINATION,0.0
mat_0585,Mathematics,0,0.1432,HIGH_CONSISTENCY_TRUE,0.1432
mat_0586,Mathematics,1,0.1135,CONSISTENT_HALLUCINATION,0.1135
mat_0587,Mathematics,0,0.2224,INCONSISTENT_TRUE,0.2224
mat_0588,Mathematics,1,0.095,CONSISTENT_HALLUCINATION,0.095
mat_0589,Mathematics,0,0.0,HIGH_CONSISTENCY_TRUE,0.0
mat_0590,Mathematics,1,0.0729,CONSISTENT_HALLUCINATION,0.0729
mat_0591,Mathematics,0,0.1127,HIGH_CONSISTENCY_TRUE,0.1127
mat_0592,Mathematics,1,0.0,CONSISTENT_HALLUCINATION,0.0
mat_0593,Mathematics,0,0.0933,HIGH_CONSISTENCY_TRUE,0.0933
mat_0594,Mathematics,1,0.0876,CONSISTENT_HALLUCINATION,0.0876
mat_0595,Mathematics,0,0.143,HIGH_CONSISTENCY_TRUE,0.143
mat_0596,Mathematics,1,0.0,CONSISTENT_HALLUCINATION,0.0
mat_0597,Mathematics,0,0.0,HIGH_CONSISTENCY_TRUE,0.0
mat_0598,Mathematics,1,0.0689,CONSISTENT_HALLUCINATION,0.0689
mat_0599,Mathematics,0,0.1178,HIGH_CONSISTENCY_TRUE,0.1178
mat_0600,Mathematics,1,0.0,CONSISTENT_HALLUCINATION,0.0
geo_0601,Geography,0,0.1041,HIGH_CONSISTENCY_TRUE,0.1041
geo_0602,Geography,1,0.0241,CONSISTENT_HALLUCINATION,0.0241
geo_0603,Geography,0,0.0504,HIGH_CONSISTENCY_TRUE,0.0504
geo_0604,Geography,1,0.1195,CONSISTENT_HALLUCINATION,0.1195
geo_0605,Geography,0,0.3305,INCONSISTENT_TRUE,0.3305
geo_0606,Geography,1,0.1155,CONSISTENT_HALLUCINATION,0.1155
geo_0607,Geography,0,0.5257,INCONSISTENT_TRUE,0.5257
geo_0608,Geography,1,0.2263,INCONSISTENT_HALLUCINATION,0.2263
geo_0609,Geography,0,0.2915,INCONSISTENT_TRUE,0.2915
geo_0610,Geography,1,0.0844,CONSISTENT_HALLUCINATION,0.0844
geo_0611,Geography,0,0.4921,INCONSISTENT_TRUE,0.4921
geo_0612,Geography,1,0.1799,CONSISTENT_HALLUCINATION,0.1799
geo_0613,Geography,0,0.0872,HIGH_CONSISTENCY_TRUE,0.0872
geo_0614,Geography,1,0.0529,CONSISTENT_HALLUCINATION,0.0529
geo_0615,Geography,0,0.488,INCONSISTENT_TRUE,0.488
geo_0616,Geography,1,0.2439,INCONSISTENT_HALLUCINATION,0.2439
geo_0617,Geography,0,0.1332,HIGH_CONSISTENCY_TRUE,0.1332
geo_0618,Geography,1,0.1207,CONSISTENT_HALLUCINATION,0.1207
geo_0619,Geography,0,0.3868,INCONSISTENT_TRUE,0.3868
geo_0620,Geography,1,0.3735,INCONSISTENT_HALLUCINATION,0.3735
geo_0621,Geography,0,0.1429,HIGH_CONSISTENCY_TRUE,0.1429
geo_0622,Geography,1,0.1988,CONSISTENT_HALLUCINATION,0.1988
geo_0623,Geography,0,0.1843,HIGH_CONSISTENCY_TRUE,0.1843
geo_0624,Geography,1,0.1453,CONSISTENT_HALLUCINATION,0.1453
geo_0625,Geography,0,0.0775,HIGH_CONSISTENCY_TRUE,0.0775
geo_0626,Geography,1,0.0482,CONSISTENT_HALLUCINATION,0.0482
geo_0627,Geography,0,0.4802,INCONSISTENT_TRUE,0.4802
geo_0628,Geography,1,0.2016,INCONSISTENT_HALLUCINATION,0.2016
geo_0629,Geography,0,0.1859,HIGH_CONSISTENCY_TRUE,0.1859
geo_0630,Geography,1,0.0689,CONSISTENT_HALLUCINATION,0.0689
geo_0631,Geography,0,0.1742,HIGH_CONSISTENCY_TRUE,0.1742
geo_0632,Geography,1,0.1175,CONSISTENT_HALLUCINATION,0.1175
geo_0633,Geography,0,0.1434,HIGH_CONSISTENCY_TRUE,0.1434
geo_0634,Geography,1,0.0362,CONSISTENT_HALLUCINATION,0.0362
geo_0635,Geography,0,0.4111,INCONSISTENT_TRUE,0.4111
geo_0636,Geography,1,0.2457,INCONSISTENT_HALLUCINATION,0.2457
geo_0637,Geography,0,0.0767,HIGH_CONSISTENCY_TRUE,0.0767
geo_0638,Geography,1,0.0633,CONSISTENT_HALLUCINATION,0.0633
geo_0639,Geography,0,0.1613,HIGH_CONSISTENCY_TRUE,0.1613
geo_0640,Geography,1,0.1205,CONSISTENT_HALLUCINATION,0.1205
geo_0641,Geography,0,0.1337,HIGH_CONSISTENCY_TRUE,0.1337
geo_0642,Geography,1,0.0746,CONSISTENT_HALLUCINATION,0.0746
geo_0643,Geography,0,0.4948,INCONSISTENT_TRUE,0.4948
geo_0644,Geography,1,0.1702,CONSISTENT_HALLUCINATION,0.1702
geo_0645,Geography,0,0.0429,HIGH_CONSISTENCY_TRUE,0.0429
geo_0646,Geography,1,0.0003,CONSISTENT_HALLUCINATION,0.0003
geo_0647,Geography,0,0.3443,INCONSISTENT_TRUE,0.3443
geo_0648,Geography,1,0.3473,INCONSISTENT_HALLUCINATION,0.3473
geo_0649,Geography,0,0.2,INCONSISTENT_TRUE,0.2
geo_0650,Geography,1,0.0564,CONSISTENT_HALLUCINATION,0.0564
pol_0651,Politics,0,0.1811,HIGH_CONSISTENCY_TRUE,0.1811
pol_0652,Politics,1,0.106,CONSISTENT_HALLUCINATION,0.106
pol_0653,Politics,0,0.2037,INCONSISTENT_TRUE,0.2037
pol_0654,Politics,1,0.1839,CONSISTENT_HALLUCINATION,0.1839
pol_0655,Politics,0,0.1619,HIGH_CONSISTENCY_TRUE,0.1619
pol_0656,Politics,1,0.1743,CONSISTENT_HALLUCINATION,0.1743
pol_0657,Politics,0,0.0844,HIGH_CONSISTENCY_TRUE,0.0844
pol_0658,Politics,1,0.0694,CONSISTENT_HALLUCINATION,0.0694
pol_0659,Politics,0,0.121,HIGH_CONSISTENCY_TRUE,0.121
pol_0660,Politics,1,0.1037,CONSISTENT_HALLUCINATION,0.1037
pol_0661,Politics,0,0.0636,HIGH_CONSISTENCY_TRUE,0.0636
pol_0662,Politics,1,0.0617,CONSISTENT_HALLUCINATION,0.0617
pol_0663,Politics,0,0.0691,HIGH_CONSISTENCY_TRUE,0.0691
pol_0664,Politics,1,0.1189,CONSISTENT_HALLUCINATION,0.1189
pol_0665,Politics,0,0.1622,HIGH_CONSISTENCY_TRUE,0.1622
pol_0666,Politics,1,0.092,CONSISTENT_HALLUCINATION,0.092
pol_0667,Politics,0,0.1005,HIGH_CONSISTENCY_TRUE,0.1005
pol_0668,Politics,1,0.1101,CONSISTENT_HALLUCINATION,0.1101
pol_0669,Politics,0,0.2139,INCONSISTENT_TRUE,0.2139
pol_0670,Politics,1,0.0782,CONSISTENT_HALLUCINATION,0.0782
pol_0671,Politics,0,0.1021,HIGH_CONSISTENCY_TRUE,0.1021
pol_0672,Politics,1,0.148,CONSISTENT_HALLUCINATION,0.148
pol_0673,Politics,0,0.0867,HIGH_CONSISTENCY_TRUE,0.0867
pol_0674,Politics,1,0.0658,CONSISTENT_HALLUCINATION,0.0658
pol_0675,Politics,0,0.137,HIGH_CONSISTENCY_TRUE,0.137
pol_0676,Politics,1,0.215,INCONSISTENT_HALLUCINATION,0.215
pol_0677,Politics,0,0.0737,HIGH_CONSISTENCY_TRUE,0.0737
pol_0678,Politics,1,0.0772,CONSISTENT_HALLUCINATION,0.0772
pol_0679,Politics,0,0.0978,HIGH_CONSISTENCY_TRUE,0.0978
pol_0680,Politics,1,0.1862,CONSISTENT_HALLUCINATION,0.1862
pol_0681,Politics,0,0.061,HIGH_CONSISTENCY_TRUE,0.061
pol_0682,Politics,1,0.089,CONSISTENT_HALLUCINATION,0.089
pol_0683,Politics,0,0.1481,HIGH_CONSISTENCY_TRUE,0.1481
pol_0684,Politics,1,0.2068,INCONSISTENT_HALLUCINATION,0.2068
pol_0685,Politics,0,0.1926,HIGH_CONSISTENCY_TRUE,0.1926
pol_0686,Politics,1,0.0814,CONSISTENT_HALLUCINATION,0.0814
pol_0687,Politics,0,0.1601,HIGH_CONSISTENCY_TRUE,0.1601
pol_0688,Politics,1,0.4374,INCONSISTENT_HALLUCINATION,0.4374
pol_0689,Politics,0,0.2175,INCONSISTENT_TRUE,0.2175
pol_0690,Politics,1,0.0413,CONSISTENT_HALLUCINATION,0.0413
pol_0691,Politics,0,0.162,HIGH_CONSISTENCY_TRUE,0.162
pol_0692,Politics,1,0.1245,CONSISTENT_HALLUCINATION,0.1245
pol_0693,Politics,0,0.0732,HIGH_CONSISTENCY_TRUE,0.0732
pol_0694,Politics,1,0.0844,CONSISTENT_HALLUCINATION,0.0844
pol_0695,Politics,0,0.1307,HIGH_CONSISTENCY_TRUE,0.1307
pol_0696,Politics,1,0.3331,INCONSISTENT_HALLUCINATION,0.3331
pol_0697,Politics,0,0.0635,HIGH_CONSISTENCY_TRUE,0.0635
pol_0698,Politics,1,0.1547,CONSISTENT_HALLUCINATION,0.1547
pol_0699,Politics,0,0.1162,HIGH_CONSISTENCY_TRUE,0.1162
pol_0700,Politics,1,0.2218,INCONSISTENT_HALLUCINATION,0.2218
lit_0701,Literature,0,0.0789,HIGH_CONSISTENCY_TRUE,0.0789
lit_0702,Literature,1,0.0806,CONSISTENT_HALLUCINATION,0.0806
lit_0703,Literature,0,0.2411,INCONSISTENT_TRUE,0.2411
lit_0704,Literature,1,0.1035,CONSISTENT_HALLUCINATION,0.1035
lit_0705,Literature,0,0.1044,HIGH_CONSISTENCY_TRUE,0.1044
lit_0706,Literature,1,0.2414,INCONSISTENT_HALLUCINATION,0.2414
lit_0707,Literature,0,0.0936,HIGH_CONSISTENCY_TRUE,0.0936
lit_0708,Literature,1,0.073,CONSISTENT_HALLUCINATION,0.073
