sample_id,domain,ground_truth,phase6_evidence_overlap,phase7_evidence_overlap,phase6_leakage_classification,evidence_source
com_0304,Computer Science,1,1.0,0.08,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0305,Computer Science,0,1.0,0.0833,HIGH,Wikipedia / Synthetic Reference Corpora
com_0306,Computer Science,1,1.0,0.044,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0307,Computer Science,0,1.0,0.0758,HIGH,Wikipedia / Synthetic Reference Corpora
com_0308,Computer Science,1,1.0,0.1944,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0309,Computer Science,0,1.0,0.1023,HIGH,Wikipedia / Synthetic Reference Corpora
com_0310,Computer Science,1,1.0,0.0408,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0311,Computer Science,0,1.0,0.03,HIGH,Wikipedia / Synthetic Reference Corpora
com_0312,Computer Science,1,1.0,0.0753,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0313,Computer Science,0,1.0,0.0787,HIGH,Wikipedia / Synthetic Reference Corpora
com_0314,Computer Science,1,1.0,0.0417,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0315,Computer Science,0,1.0,0.0279,HIGH,Wikipedia / Synthetic Reference Corpora
com_0316,Computer Science,1,1.0,0.1176,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0317,Computer Science,0,1.0,0.2162,HIGH,Wikipedia / Synthetic Reference Corpora
com_0318,Computer Science,1,1.0,0.0427,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0319,Computer Science,0,1.0,0.0556,HIGH,Wikipedia / Synthetic Reference Corpora
com_0320,Computer Science,1,1.0,0.0486,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0321,Computer Science,0,1.0,0.375,HIGH,Wikipedia / Synthetic Reference Corpora
com_0322,Computer Science,1,1.0,0.0328,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0323,Computer Science,0,1.0,0.0984,HIGH,Wikipedia / Synthetic Reference Corpora
com_0324,Computer Science,1,1.0,0.0909,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0325,Computer Science,0,1.0,0.375,HIGH,Wikipedia / Synthetic Reference Corpora
com_0326,Computer Science,1,1.0,0.0943,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0327,Computer Science,0,1.0,0.0435,HIGH,Wikipedia / Synthetic Reference Corpora
com_0328,Computer Science,1,1.0,0.0233,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0329,Computer Science,0,1.0,0.3571,HIGH,Wikipedia / Synthetic Reference Corpora
com_0330,Computer Science,1,1.0,0.0321,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0331,Computer Science,0,1.0,0.0658,HIGH,Wikipedia / Synthetic Reference Corpora
com_0332,Computer Science,1,1.0,0.0496,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0333,Computer Science,0,1.0,0.2222,HIGH,Wikipedia / Synthetic Reference Corpora
com_0334,Computer Science,1,1.0,0.0355,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0335,Computer Science,0,1.0,0.0746,HIGH,Wikipedia / Synthetic Reference Corpora
com_0336,Computer Science,1,1.0,0.1228,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0337,Computer Science,0,1.0,0.5625,HIGH,Wikipedia / Synthetic Reference Corpora
com_0338,Computer Science,1,1.0,0.1071,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0339,Computer Science,0,1.0,0.0588,HIGH,Wikipedia / Synthetic Reference Corpora
com_0340,Computer Science,1,1.0,0.0594,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0341,Computer Science,0,1.0,0.1379,HIGH,Wikipedia / Synthetic Reference Corpora
com_0342,Computer Science,1,1.0,0.0506,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0343,Computer Science,0,1.0,0.1136,HIGH,Wikipedia / Synthetic Reference Corpora
com_0344,Computer Science,1,1.0,0.0556,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0345,Computer Science,0,1.0,0.0602,HIGH,Wikipedia / Synthetic Reference Corpora
com_0346,Computer Science,1,1.0,0.0479,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0347,Computer Science,0,1.0,0.0729,HIGH,Wikipedia / Synthetic Reference Corpora
com_0348,Computer Science,1,1.0,0.0769,MODERATE,Wikipedia / Synthetic Reference Corpora
com_0349,Computer Science,0,1.0,0.2083,HIGH,Wikipedia / Synthetic Reference Corpora
com_0350,Computer Science,1,1.0,0.0352,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0351,Physics,0,1.0,0.1522,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0352,Physics,1,1.0,0.1111,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0353,Physics,0,1.0,0.0374,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0354,Physics,1,1.0,0.031,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0355,Physics,0,1.0,0.2,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0356,Physics,1,1.0,0.0265,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0357,Physics,0,1.0,0.06,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0358,Physics,1,1.0,0.0602,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0359,Physics,0,1.0,0.1944,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0360,Physics,1,1.0,0.1136,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0361,Physics,0,1.0,0.1111,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0362,Physics,1,1.0,0.0421,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0363,Physics,0,1.0,0.0523,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0364,Physics,1,1.0,0.129,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0365,Physics,0,1.0,0.0889,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0366,Physics,1,1.0,0.0508,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0367,Physics,0,1.0,0.0432,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0368,Physics,1,1.0,0.075,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0369,Physics,0,1.0,0.0678,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0370,Physics,1,1.0,0.0283,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0371,Physics,0,1.0,0.175,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0372,Physics,1,1.0,0.1143,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0373,Physics,0,1.0,0.0526,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0374,Physics,1,1.0,0.0625,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0375,Physics,0,1.0,0.1667,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0376,Physics,1,1.0,0.0851,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0377,Physics,0,1.0,0.04,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0378,Physics,1,1.0,0.0385,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0379,Physics,0,1.0,0.1296,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0380,Physics,1,1.0,0.12,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0381,Physics,0,1.0,0.0889,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0382,Physics,1,1.0,0.0345,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0383,Physics,0,1.0,0.1094,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0384,Physics,1,1.0,0.102,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0385,Physics,0,1.0,0.0495,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0386,Physics,1,1.0,0.0723,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0387,Physics,0,1.0,0.0769,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0388,Physics,1,1.0,0.0714,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0389,Physics,0,1.0,0.0685,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0390,Physics,1,1.0,0.0233,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0391,Physics,0,1.0,0.1522,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0392,Physics,1,1.0,0.0984,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0393,Physics,0,1.0,0.0548,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0394,Physics,1,1.0,0.027,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0395,Physics,0,1.0,0.2051,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0396,Physics,1,1.0,0.0769,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0397,Physics,0,1.0,0.0612,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0398,Physics,1,1.0,0.0583,MODERATE,Wikipedia / Synthetic Reference Corpora
phy_0399,Physics,0,1.0,0.1321,HIGH,Wikipedia / Synthetic Reference Corpora
phy_0400,Physics,1,1.0,0.08,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0401,Biology,0,1.0,0.0556,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0402,Biology,1,1.0,0.1053,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0403,Biology,0,1.0,0.1167,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0404,Biology,1,1.0,0.05,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0405,Biology,0,1.0,0.1333,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0406,Biology,1,1.0,0.3333,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0407,Biology,0,1.0,0.1556,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0408,Biology,1,1.0,0.014,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0409,Biology,0,1.0,0.0667,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0410,Biology,1,1.0,0.0732,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0411,Biology,0,1.0,0.0337,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0412,Biology,1,1.0,0.0408,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0413,Biology,0,1.0,0.0357,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0414,Biology,1,1.0,0.0857,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0415,Biology,0,1.0,0.1364,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0416,Biology,1,1.0,0.0286,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0417,Biology,0,1.0,0.0408,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0418,Biology,1,1.0,0.0217,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0419,Biology,0,1.0,0.3636,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0420,Biology,1,1.0,0.0134,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0421,Biology,0,1.0,0.1333,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0422,Biology,1,1.0,0.0682,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0423,Biology,0,1.0,0.087,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0424,Biology,1,1.0,0.0135,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0425,Biology,0,1.0,0.0714,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0426,Biology,1,1.0,0.0244,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0427,Biology,0,1.0,0.0612,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0428,Biology,1,1.0,0.0444,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0429,Biology,0,1.0,0.1333,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0430,Biology,1,1.0,0.6667,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0431,Biology,0,1.0,0.0877,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0432,Biology,1,1.0,0.3333,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0433,Biology,0,1.0,0.0476,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0434,Biology,1,1.0,0.0732,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0435,Biology,0,1.0,0.1111,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0436,Biology,1,1.0,0.0283,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0437,Biology,0,1.0,0.0357,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0438,Biology,1,1.0,0.0476,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0439,Biology,0,1.0,0.0704,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0440,Biology,1,1.0,0.0213,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0441,Biology,0,1.0,0.04,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0442,Biology,1,1.0,0.0333,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0443,Biology,0,1.0,0.0349,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0444,Biology,1,1.0,0.039,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0445,Biology,0,1.0,0.04,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0446,Biology,1,1.0,0.0811,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0447,Biology,0,1.0,0.1818,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0448,Biology,1,1.0,0.0392,MODERATE,Wikipedia / Synthetic Reference Corpora
bio_0449,Biology,0,1.0,0.0667,HIGH,Wikipedia / Synthetic Reference Corpora
bio_0450,Biology,1,1.0,0.0909,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0451,Chemistry,0,1.0,0.6875,HIGH,Wikipedia / Synthetic Reference Corpora
che_0452,Chemistry,1,1.0,0.0556,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0453,Chemistry,0,1.0,0.1429,HIGH,Wikipedia / Synthetic Reference Corpora
che_0454,Chemistry,1,1.0,0.1064,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0455,Chemistry,0,1.0,0.4,HIGH,Wikipedia / Synthetic Reference Corpora
che_0456,Chemistry,1,1.0,0.0267,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0457,Chemistry,0,1.0,0.5,HIGH,Wikipedia / Synthetic Reference Corpora
che_0458,Chemistry,1,1.0,0.102,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0459,Chemistry,0,1.0,0.35,HIGH,Wikipedia / Synthetic Reference Corpora
che_0460,Chemistry,1,1.0,0.0652,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0461,Chemistry,0,1.0,0.2,HIGH,Wikipedia / Synthetic Reference Corpora
che_0462,Chemistry,1,1.0,0.093,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0463,Chemistry,0,1.0,0.7778,HIGH,Wikipedia / Synthetic Reference Corpora
che_0464,Chemistry,1,1.0,0.1111,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0465,Chemistry,0,1.0,0.1395,HIGH,Wikipedia / Synthetic Reference Corpora
che_0466,Chemistry,1,1.0,0.0833,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0467,Chemistry,0,1.0,0.0874,HIGH,Wikipedia / Synthetic Reference Corpora
che_0468,Chemistry,1,1.0,0.0385,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0469,Chemistry,0,1.0,0.2857,HIGH,Wikipedia / Synthetic Reference Corpora
che_0470,Chemistry,1,1.0,0.0811,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0471,Chemistry,0,1.0,0.2245,HIGH,Wikipedia / Synthetic Reference Corpora
che_0472,Chemistry,1,1.0,0.0227,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0473,Chemistry,0,1.0,0.5,HIGH,Wikipedia / Synthetic Reference Corpora
che_0474,Chemistry,1,1.0,0.0597,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0475,Chemistry,0,1.0,0.2105,HIGH,Wikipedia / Synthetic Reference Corpora
che_0476,Chemistry,1,1.0,0.0323,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0477,Chemistry,0,1.0,0.1224,HIGH,Wikipedia / Synthetic Reference Corpora
che_0478,Chemistry,1,1.0,0.0909,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0479,Chemistry,0,1.0,0.3846,HIGH,Wikipedia / Synthetic Reference Corpora
che_0480,Chemistry,1,1.0,0.0968,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0481,Chemistry,0,1.0,0.4545,HIGH,Wikipedia / Synthetic Reference Corpora
che_0482,Chemistry,1,1.0,0.0758,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0483,Chemistry,0,1.0,0.275,HIGH,Wikipedia / Synthetic Reference Corpora
che_0484,Chemistry,1,1.0,0.0426,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0485,Chemistry,0,1.0,0.4,HIGH,Wikipedia / Synthetic Reference Corpora
che_0486,Chemistry,1,1.0,0.0732,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0487,Chemistry,0,1.0,0.1019,HIGH,Wikipedia / Synthetic Reference Corpora
che_0488,Chemistry,1,1.0,0.0562,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0489,Chemistry,0,1.0,0.5,HIGH,Wikipedia / Synthetic Reference Corpora
che_0490,Chemistry,1,1.0,0.0602,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0491,Chemistry,0,1.0,0.1957,HIGH,Wikipedia / Synthetic Reference Corpora
che_0492,Chemistry,1,1.0,0.0233,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0493,Chemistry,0,1.0,0.5,HIGH,Wikipedia / Synthetic Reference Corpora
che_0494,Chemistry,1,1.0,0.122,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0495,Chemistry,0,1.0,0.2857,HIGH,Wikipedia / Synthetic Reference Corpora
che_0496,Chemistry,1,1.0,0.0465,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0497,Chemistry,0,1.0,0.5,HIGH,Wikipedia / Synthetic Reference Corpora
che_0498,Chemistry,1,1.0,0.093,MODERATE,Wikipedia / Synthetic Reference Corpora
che_0499,Chemistry,0,1.0,0.8333,HIGH,Wikipedia / Synthetic Reference Corpora
che_0500,Chemistry,1,1.0,0.0448,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0501,News,0,1.0,0.0323,HIGH,Wikipedia / Synthetic Reference Corpora
new_0502,News,1,1.0,0.093,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0503,News,0,1.0,0.056,HIGH,Wikipedia / Synthetic Reference Corpora
new_0504,News,1,1.0,0.036,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0505,News,0,1.0,0.0284,HIGH,Wikipedia / Synthetic Reference Corpora
new_0506,News,1,1.0,0.046,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0507,News,0,1.0,0.04,HIGH,Wikipedia / Synthetic Reference Corpora
new_0508,News,1,1.0,0.0556,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0509,News,0,1.0,0.0938,HIGH,Wikipedia / Synthetic Reference Corpora
new_0510,News,1,1.0,0.0952,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0511,News,0,1.0,0.0297,HIGH,Wikipedia / Synthetic Reference Corpora
new_0512,News,1,1.0,0.044,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0513,News,0,1.0,0.0321,HIGH,Wikipedia / Synthetic Reference Corpora
new_0514,News,1,1.0,0.4286,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0515,News,0,1.0,0.0833,HIGH,Wikipedia / Synthetic Reference Corpora
new_0516,News,1,1.0,0.0625,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0517,News,0,1.0,0.0336,HIGH,Wikipedia / Synthetic Reference Corpora
new_0518,News,1,1.0,0.3333,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0519,News,0,1.0,0.069,HIGH,Wikipedia / Synthetic Reference Corpora
new_0520,News,1,1.0,0.032,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0521,News,0,1.0,0.0548,HIGH,Wikipedia / Synthetic Reference Corpora
new_0522,News,1,1.0,0.0889,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0523,News,0,1.0,0.1053,HIGH,Wikipedia / Synthetic Reference Corpora
new_0524,News,1,1.0,0.0186,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0525,News,0,1.0,0.0284,HIGH,Wikipedia / Synthetic Reference Corpora
new_0526,News,1,1.0,0.1379,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0527,News,0,1.0,0.0984,HIGH,Wikipedia / Synthetic Reference Corpora
new_0528,News,1,1.0,0.0526,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0529,News,0,1.0,0.0329,HIGH,Wikipedia / Synthetic Reference Corpora
new_0530,News,1,1.0,0.25,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0531,News,0,1.0,0.0405,HIGH,Wikipedia / Synthetic Reference Corpora
new_0532,News,1,1.0,0.0656,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0533,News,0,1.0,0.0625,HIGH,Wikipedia / Synthetic Reference Corpora
new_0534,News,1,1.0,0.04,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0535,News,0,1.0,0.0327,HIGH,Wikipedia / Synthetic Reference Corpora
new_0536,News,1,1.0,0.0444,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0537,News,0,1.0,0.0375,HIGH,Wikipedia / Synthetic Reference Corpora
new_0538,News,1,1.0,0.1818,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0539,News,0,1.0,0.119,HIGH,Wikipedia / Synthetic Reference Corpora
new_0540,News,1,1.0,0.0435,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0541,News,0,1.0,0.0606,HIGH,Wikipedia / Synthetic Reference Corpora
new_0542,News,1,1.0,0.0727,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0543,News,0,1.0,0.0625,HIGH,Wikipedia / Synthetic Reference Corpora
new_0544,News,1,1.0,0.0203,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0545,News,0,1.0,0.027,HIGH,Wikipedia / Synthetic Reference Corpora
new_0546,News,1,1.0,0.0769,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0547,News,0,1.0,0.04,HIGH,Wikipedia / Synthetic Reference Corpora
new_0548,News,1,1.0,0.0303,MODERATE,Wikipedia / Synthetic Reference Corpora
new_0549,News,0,1.0,0.0333,HIGH,Wikipedia / Synthetic Reference Corpora
new_0550,News,1,1.0,0.0755,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0551,Mathematics,0,1.0,0.2,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0552,Mathematics,1,1.0,0.069,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0553,Mathematics,0,1.0,0.1724,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0554,Mathematics,1,1.0,0.129,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0555,Mathematics,0,1.0,0.1194,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0556,Mathematics,1,1.0,0.0896,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0557,Mathematics,0,1.0,0.1429,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0558,Mathematics,1,1.0,0.0682,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0559,Mathematics,0,1.0,0.1067,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0560,Mathematics,1,1.0,0.0536,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0561,Mathematics,0,1.0,0.1429,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0562,Mathematics,1,1.0,0.1053,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0563,Mathematics,0,1.0,0.127,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0564,Mathematics,1,1.0,0.1042,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0565,Mathematics,0,1.0,0.1915,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0566,Mathematics,1,1.0,0.0741,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0567,Mathematics,0,1.0,0.1143,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0568,Mathematics,1,1.0,0.0583,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0569,Mathematics,0,1.0,0.1731,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0570,Mathematics,1,1.0,0.1053,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0571,Mathematics,0,1.0,0.1077,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0572,Mathematics,1,1.0,0.0451,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0573,Mathematics,0,1.0,0.0656,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0574,Mathematics,1,1.0,0.098,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0575,Mathematics,0,1.0,0.0822,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0576,Mathematics,1,1.0,0.0707,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0577,Mathematics,0,1.0,0.0667,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0578,Mathematics,1,1.0,0.0571,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0579,Mathematics,0,1.0,0.0988,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0580,Mathematics,1,1.0,0.0652,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0581,Mathematics,0,1.0,0.8182,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0582,Mathematics,1,1.0,0.0632,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0583,Mathematics,0,1.0,0.0952,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0584,Mathematics,1,1.0,0.0488,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0585,Mathematics,0,1.0,0.0643,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0586,Mathematics,1,1.0,0.0385,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0587,Mathematics,0,1.0,0.1296,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0588,Mathematics,1,1.0,0.3333,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0589,Mathematics,0,1.0,0.2703,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0590,Mathematics,1,1.0,0.0397,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0591,Mathematics,0,1.0,0.1778,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0592,Mathematics,1,1.0,0.0511,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0593,Mathematics,0,1.0,0.1923,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0594,Mathematics,1,1.0,0.1176,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0595,Mathematics,0,1.0,0.5,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0596,Mathematics,1,1.0,0.0536,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0597,Mathematics,0,1.0,0.2619,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0598,Mathematics,1,1.0,0.0685,MODERATE,Wikipedia / Synthetic Reference Corpora
mat_0599,Mathematics,0,1.0,0.1333,HIGH,Wikipedia / Synthetic Reference Corpora
mat_0600,Mathematics,1,1.0,0.0541,MODERATE,Wikipedia / Synthetic Reference Corpora
geo_0601,Geography,0,1.0,0.1562,HIGH,Wikipedia / Synthetic Reference Corpora
geo_0602,Geography,1,1.0,0.6667,MODERATE,Wikipedia / Synthetic Reference Corpora
geo_0603,Geography,0,1.0,0.2692,HIGH,Wikipedia / Synthetic Reference Corpora
