id,fusion_mode,available_pillars,missing_pillars,raw_weights,effective_weights,pillar_scores,weighted_contributions,reconstructed_h_score,stored_h_score,absolute_error
fin_0193,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1, ""cg"": null, ""cf"": null}","{""p1"": 0.1, ""p2"": 0.0, ""p3"": 0.0}",0.1,0.1,0.0000000000e+00
fin_0194,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9762, ""cg"": null, ""cf"": null}","{""p1"": 0.9762, ""p2"": 0.0, ""p3"": 0.0}",0.9762,0.9762,0.0000000000e+00
fin_0195,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.4981, ""cg"": null, ""cf"": null}","{""p1"": 0.4981, ""p2"": 0.0, ""p3"": 0.0}",0.4981,0.4981,0.0000000000e+00
fin_0196,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.175, ""cg"": null, ""cf"": null}","{""p1"": 0.175, ""p2"": 0.0, ""p3"": 0.0}",0.175,0.175,0.0000000000e+00
fin_0197,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1, ""cg"": null, ""cf"": null}","{""p1"": 0.1, ""p2"": 0.0, ""p3"": 0.0}",0.1,0.1,0.0000000000e+00
fin_0198,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9762, ""cg"": null, ""cf"": null}","{""p1"": 0.9762, ""p2"": 0.0, ""p3"": 0.0}",0.9762,0.9762,0.0000000000e+00
fin_0199,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.4981, ""cg"": null, ""cf"": null}","{""p1"": 0.4981, ""p2"": 0.0, ""p3"": 0.0}",0.4981,0.4981,0.0000000000e+00
fin_0200,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.175, ""cg"": null, ""cf"": null}","{""p1"": 0.175, ""p2"": 0.0, ""p3"": 0.0}",0.175,0.175,0.0000000000e+00
his_0201,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0202,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
his_0203,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
his_0204,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9991, ""cg"": null, ""cf"": null}","{""p1"": 0.9991, ""p2"": 0.0, ""p3"": 0.0}",0.9991,0.9991,0.0000000000e+00
his_0205,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0206,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
his_0207,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
his_0208,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9991, ""cg"": null, ""cf"": null}","{""p1"": 0.9991, ""p2"": 0.0, ""p3"": 0.0}",0.9991,0.9991,0.0000000000e+00
his_0209,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0210,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
his_0211,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
his_0212,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9991, ""cg"": null, ""cf"": null}","{""p1"": 0.9991, ""p2"": 0.0, ""p3"": 0.0}",0.9991,0.9991,0.0000000000e+00
his_0213,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0214,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
his_0215,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
his_0216,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9991, ""cg"": null, ""cf"": null}","{""p1"": 0.9991, ""p2"": 0.0, ""p3"": 0.0}",0.9991,0.9991,0.0000000000e+00
his_0217,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0218,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
his_0219,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
his_0220,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9991, ""cg"": null, ""cf"": null}","{""p1"": 0.9991, ""p2"": 0.0, ""p3"": 0.0}",0.9991,0.9991,0.0000000000e+00
his_0221,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0222,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
his_0223,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
his_0224,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9991, ""cg"": null, ""cf"": null}","{""p1"": 0.9991, ""p2"": 0.0, ""p3"": 0.0}",0.9991,0.9991,0.0000000000e+00
his_0225,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0226,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
his_0227,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
his_0228,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9991, ""cg"": null, ""cf"": null}","{""p1"": 0.9991, ""p2"": 0.0, ""p3"": 0.0}",0.9991,0.9991,0.0000000000e+00
his_0229,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0230,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
his_0231,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
his_0232,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9991, ""cg"": null, ""cf"": null}","{""p1"": 0.9991, ""p2"": 0.0, ""p3"": 0.0}",0.9991,0.9991,0.0000000000e+00
his_0233,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0234,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
his_0235,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
his_0236,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9991, ""cg"": null, ""cf"": null}","{""p1"": 0.9991, ""p2"": 0.0, ""p3"": 0.0}",0.9991,0.9991,0.0000000000e+00
his_0237,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0238,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
his_0239,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
his_0240,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9991, ""cg"": null, ""cf"": null}","{""p1"": 0.9991, ""p2"": 0.0, ""p3"": 0.0}",0.9991,0.9991,0.0000000000e+00
his_0241,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0242,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
his_0243,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
his_0244,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9991, ""cg"": null, ""cf"": null}","{""p1"": 0.9991, ""p2"": 0.0, ""p3"": 0.0}",0.9991,0.9991,0.0000000000e+00
his_0245,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0246,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
his_0247,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1333, ""cg"": null, ""cf"": null}","{""p1"": 0.1333, ""p2"": 0.0, ""p3"": 0.0}",0.1333,0.1333,0.0000000000e+00
his_0248,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9991, ""cg"": null, ""cf"": null}","{""p1"": 0.9991, ""p2"": 0.0, ""p3"": 0.0}",0.9991,0.9991,0.0000000000e+00
his_0249,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0031, ""cg"": null, ""cf"": null}","{""p1"": 0.0031, ""p2"": 0.0, ""p3"": 0.0}",0.0031,0.0031,0.0000000000e+00
his_0250,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
sci_0251,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1, ""cg"": null, ""cf"": null}","{""p1"": 0.1, ""p2"": 0.0, ""p3"": 0.0}",0.1,0.1,0.0000000000e+00
sci_0252,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 1.0, ""cg"": null, ""cf"": null}","{""p1"": 1.0, ""p2"": 0.0, ""p3"": 0.0}",1.0,1.0,0.0000000000e+00
sci_0253,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0135, ""cg"": null, ""cf"": null}","{""p1"": 0.0135, ""p2"": 0.0, ""p3"": 0.0}",0.0135,0.0135,0.0000000000e+00
sci_0254,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.4609, ""cg"": null, ""cf"": null}","{""p1"": 0.4609, ""p2"": 0.0, ""p3"": 0.0}",0.4609,0.4609,0.0000000000e+00
sci_0255,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1, ""cg"": null, ""cf"": null}","{""p1"": 0.1, ""p2"": 0.0, ""p3"": 0.0}",0.1,0.1,0.0000000000e+00
sci_0256,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 1.0, ""cg"": null, ""cf"": null}","{""p1"": 1.0, ""p2"": 0.0, ""p3"": 0.0}",1.0,1.0,0.0000000000e+00
sci_0257,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0135, ""cg"": null, ""cf"": null}","{""p1"": 0.0135, ""p2"": 0.0, ""p3"": 0.0}",0.0135,0.0135,0.0000000000e+00
sci_0258,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.4609, ""cg"": null, ""cf"": null}","{""p1"": 0.4609, ""p2"": 0.0, ""p3"": 0.0}",0.4609,0.4609,0.0000000000e+00
sci_0259,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1, ""cg"": null, ""cf"": null}","{""p1"": 0.1, ""p2"": 0.0, ""p3"": 0.0}",0.1,0.1,0.0000000000e+00
sci_0260,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 1.0, ""cg"": null, ""cf"": null}","{""p1"": 1.0, ""p2"": 0.0, ""p3"": 0.0}",1.0,1.0,0.0000000000e+00
sci_0261,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0135, ""cg"": null, ""cf"": null}","{""p1"": 0.0135, ""p2"": 0.0, ""p3"": 0.0}",0.0135,0.0135,0.0000000000e+00
sci_0262,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.4609, ""cg"": null, ""cf"": null}","{""p1"": 0.4609, ""p2"": 0.0, ""p3"": 0.0}",0.4609,0.4609,0.0000000000e+00
sci_0263,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.1, ""cg"": null, ""cf"": null}","{""p1"": 0.1, ""p2"": 0.0, ""p3"": 0.0}",0.1,0.1,0.0000000000e+00
sci_0264,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 1.0, ""cg"": null, ""cf"": null}","{""p1"": 1.0, ""p2"": 0.0, ""p3"": 0.0}",1.0,1.0,0.0000000000e+00
sci_0265,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0135, ""cg"": null, ""cf"": null}","{""p1"": 0.0135, ""p2"": 0.0, ""p3"": 0.0}",0.0135,0.0135,0.0000000000e+00
sci_0266,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.4609, ""cg"": null, ""cf"": null}","{""p1"": 0.4609, ""p2"": 0.0, ""p3"": 0.0}",0.4609,0.4609,0.0000000000e+00
