sample_id,fusion_mode,p1_score,p2_score,p3_score,predicted_h_score,reconstructed_h_score,fusion_absolute_error
com_0305,PARTIAL_RENORMALIZED,0.0,,0.1505,0.0537,0.0537,0.0
com_0306,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
com_0307,PARTIAL_RENORMALIZED,0.3915,,0.081,0.2806,0.2806,0.0
com_0308,PARTIAL_RENORMALIZED,0.1558,,0.1148,0.1412,0.1412,0.0
com_0309,PARTIAL_RENORMALIZED,0.0,,0.1647,0.0588,0.0588,0.0
com_0310,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
com_0311,PARTIAL_RENORMALIZED,0.0,,0.1133,0.0405,0.0405,0.0
com_0312,PARTIAL_RENORMALIZED,0.0,,0.3537,0.1263,0.1263,0.0
com_0313,PARTIAL_RENORMALIZED,0.5,,0.1968,0.3917,0.3917,0.0
com_0314,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
com_0315,PARTIAL_RENORMALIZED,0.0,,0.1344,0.048,0.048,0.0
com_0316,PARTIAL_RENORMALIZED,0.1396,,0.188,0.1569,0.1569,0.0
com_0317,PARTIAL_RENORMALIZED,0.502,,0.0966,0.3572,0.3572,0.0
com_0318,PARTIAL_RENORMALIZED,0.0,,0.1514,0.0541,0.0541,0.0
com_0319,PARTIAL_RENORMALIZED,0.0,,0.1498,0.0535,0.0535,0.0
com_0320,PARTIAL_RENORMALIZED,0.0,,0.452,0.1614,0.1614,0.0
com_0321,PARTIAL_RENORMALIZED,1.0,,0.1273,0.6884,0.6884,0.0
com_0322,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
com_0323,PARTIAL_RENORMALIZED,0.5256,,0.1381,0.3872,0.3872,0.0
com_0324,PARTIAL_RENORMALIZED,0.4122,,0.2689,0.361,0.361,0.0
com_0325,PARTIAL_RENORMALIZED,0.4999,,0.1228,0.3652,0.3652,0.0
com_0326,PARTIAL_RENORMALIZED,0.4927,,0.1457,0.3688,0.3688,0.0
com_0327,PARTIAL_RENORMALIZED,0.0,,0.273,0.0975,0.0975,0.0
com_0328,PARTIAL_RENORMALIZED,0.0,,0.4498,0.1606,0.1606,0.0
com_0329,PARTIAL_RENORMALIZED,0.4999,,0.0711,0.3468,0.3468,0.0
com_0330,PARTIAL_RENORMALIZED,0.0,,0.0654,0.0234,0.0234,0.0
com_0331,PARTIAL_RENORMALIZED,0.6925,,0.0979,0.4802,0.4802,0.0
com_0332,PARTIAL_RENORMALIZED,0.0,,0.4069,0.1453,0.1453,0.0
com_0333,PARTIAL_RENORMALIZED,0.4999,,0.1102,0.3607,0.3607,0.0
com_0334,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
com_0335,PARTIAL_RENORMALIZED,0.3829,,0.0724,0.272,0.272,0.0
com_0336,PARTIAL_RENORMALIZED,0.5758,,0.3923,0.5103,0.5103,0.0
com_0337,PARTIAL_RENORMALIZED,1.0,,0.0374,0.6563,0.6563,0.0
com_0338,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
com_0339,PARTIAL_RENORMALIZED,0.3359,,0.1118,0.2559,0.2559,0.0
com_0340,PARTIAL_RENORMALIZED,0.0,,0.4507,0.1609,0.1609,0.0
com_0341,PARTIAL_RENORMALIZED,0.0,,0.0858,0.0306,0.0306,0.0
com_0342,PARTIAL_RENORMALIZED,0.0,,0.2724,0.0973,0.0973,0.0
com_0343,PARTIAL_RENORMALIZED,0.32,,0.0568,0.226,0.226,0.0
com_0344,PARTIAL_RENORMALIZED,0.2865,,0.196,0.2542,0.2542,0.0
com_0345,PARTIAL_RENORMALIZED,0.0,,0.1689,0.0603,0.0603,0.0
com_0346,PARTIAL_RENORMALIZED,0.0,,0.2596,0.0927,0.0927,0.0
com_0347,PARTIAL_RENORMALIZED,0.6071,,,0.6071,0.6071,0.0
com_0348,PARTIAL_RENORMALIZED,0.0,,0.2224,0.0794,0.0794,0.0
com_0349,PARTIAL_RENORMALIZED,0.3361,,0.0818,0.2453,0.2453,0.0
com_0350,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
phy_0351,PARTIAL_RENORMALIZED,0.0,,0.1091,0.039,0.039,0.0
phy_0352,PARTIAL_RENORMALIZED,0.3593,,0.0931,0.2642,0.2642,0.0
phy_0353,PARTIAL_RENORMALIZED,0.0,,0.142,0.0507,0.0507,0.0
phy_0354,PARTIAL_RENORMALIZED,0.0,,0.1063,0.038,0.038,0.0
phy_0355,PARTIAL_RENORMALIZED,0.1235,,0.0653,0.1027,0.1027,0.0
phy_0356,PARTIAL_RENORMALIZED,0.5747,,0.2255,0.45,0.45,0.0
phy_0357,PARTIAL_RENORMALIZED,0.0,,0.2975,0.1062,0.1062,0.0
phy_0358,PARTIAL_RENORMALIZED,0.0,,0.117,0.0418,0.0418,0.0
phy_0359,PARTIAL_RENORMALIZED,0.0,,0.1086,0.0388,0.0388,0.0
phy_0360,PARTIAL_RENORMALIZED,0.0,,0.0795,0.0284,0.0284,0.0
phy_0361,PARTIAL_RENORMALIZED,0.0,,0.3188,0.1138,0.1138,0.0
phy_0362,PARTIAL_RENORMALIZED,0.4782,,0.0697,0.3323,0.3323,0.0
phy_0363,PARTIAL_RENORMALIZED,0.0,,0.1334,0.0476,0.0476,0.0
phy_0364,PARTIAL_RENORMALIZED,0.2674,,0.0656,0.1953,0.1953,0.0
phy_0365,PARTIAL_RENORMALIZED,0.6512,,0.2119,0.4943,0.4943,0.0
phy_0366,PARTIAL_RENORMALIZED,0.679,,0.259,0.529,0.529,0.0
phy_0367,PARTIAL_RENORMALIZED,0.0,,0.0996,0.0356,0.0356,0.0
phy_0368,PARTIAL_RENORMALIZED,0.4181,,0.0443,0.2846,0.2846,0.0
phy_0369,PARTIAL_RENORMALIZED,0.0,,0.1949,0.0696,0.0696,0.0
phy_0370,PARTIAL_RENORMALIZED,0.0,,0.4462,0.1593,0.1593,0.0
phy_0371,PARTIAL_RENORMALIZED,0.0,,0.0947,0.0338,0.0338,0.0
phy_0372,PARTIAL_RENORMALIZED,0.3812,,0.1833,0.3105,0.3105,0.0
phy_0373,PARTIAL_RENORMALIZED,0.0,,0.3282,0.1172,0.1172,0.0
phy_0374,PARTIAL_RENORMALIZED,0.0,,0.0883,0.0315,0.0315,0.0
phy_0375,PARTIAL_RENORMALIZED,0.0,,0.1152,0.0411,0.0411,0.0
phy_0376,PARTIAL_RENORMALIZED,0.4576,,0.0558,0.3141,0.3141,0.0
phy_0377,PARTIAL_RENORMALIZED,0.0,,0.3081,0.11,0.11,0.0
phy_0378,PARTIAL_RENORMALIZED,0.0,,0.3445,0.123,0.123,0.0
phy_0379,PARTIAL_RENORMALIZED,0.0,,0.1299,0.0464,0.0464,0.0
phy_0380,PARTIAL_RENORMALIZED,0.1334,,0.0444,0.1016,0.1016,0.0
phy_0381,PARTIAL_RENORMALIZED,0.0,,0.351,0.1253,0.1253,0.0
phy_0382,PARTIAL_RENORMALIZED,0.0,,0.1384,0.0494,0.0494,0.0
phy_0383,PARTIAL_RENORMALIZED,0.0,,0.0756,0.027,0.027,0.0
phy_0384,PARTIAL_RENORMALIZED,0.4344,,0.0672,0.3033,0.3033,0.0
phy_0385,PARTIAL_RENORMALIZED,0.0,,0.3238,0.1156,0.1156,0.0
phy_0386,PARTIAL_RENORMALIZED,0.492,,0.3349,0.4359,0.4359,0.0
phy_0387,PARTIAL_RENORMALIZED,0.329,,0.1405,0.2617,0.2617,0.0
phy_0388,PARTIAL_RENORMALIZED,0.6625,,0.0604,0.4475,0.4475,0.0
phy_0389,PARTIAL_RENORMALIZED,0.2382,,0.1798,0.2173,0.2173,0.0
phy_0390,PARTIAL_RENORMALIZED,0.0,,0.4811,0.1718,0.1718,0.0
phy_0391,PARTIAL_RENORMALIZED,0.0,,0.0426,0.0152,0.0152,0.0
phy_0392,PARTIAL_RENORMALIZED,0.3739,,0.0772,0.2679,0.2679,0.0
phy_0393,PARTIAL_RENORMALIZED,0.2908,,0.2162,0.2642,0.2642,0.0
phy_0394,PARTIAL_RENORMALIZED,0.4496,,0.2648,0.3836,0.3836,0.0
phy_0395,PARTIAL_RENORMALIZED,0.4998,,0.1224,0.365,0.365,0.0
phy_0396,PARTIAL_RENORMALIZED,0.2753,,0.1809,0.2416,0.2416,0.0
phy_0397,PARTIAL_RENORMALIZED,0.0,,0.27,0.0964,0.0964,0.0
phy_0398,PARTIAL_RENORMALIZED,0.0,,0.3196,0.1141,0.1141,0.0
phy_0399,PARTIAL_RENORMALIZED,0.0,,0.0777,0.0277,0.0277,0.0
phy_0400,PARTIAL_RENORMALIZED,0.4995,,0.1955,0.3909,0.3909,0.0
bio_0401,PARTIAL_RENORMALIZED,0.2092,,0.0467,0.1512,0.1512,0.0
bio_0402,PARTIAL_RENORMALIZED,0.2725,,0.0958,0.2094,0.2094,0.0
bio_0403,PARTIAL_RENORMALIZED,0.4316,,0.0889,0.3092,0.3092,0.0
bio_0404,PARTIAL_RENORMALIZED,0.2964,,0.0928,0.2237,0.2237,0.0
bio_0405,PARTIAL_RENORMALIZED,0.05,,0.0691,0.0568,0.0568,0.0
bio_0406,PARTIAL_RENORMALIZED,0.0132,,0.1035,0.0454,0.0454,0.0
bio_0407,PARTIAL_RENORMALIZED,0.102,,0.0881,0.097,0.097,0.0
bio_0408,PARTIAL_RENORMALIZED,0.0,,0.1051,0.0375,0.0375,0.0
bio_0409,PARTIAL_RENORMALIZED,0.05,,0.0191,0.039,0.039,0.0
bio_0410,PARTIAL_RENORMALIZED,0.3264,,0.106,0.2477,0.2477,0.0
bio_0411,PARTIAL_RENORMALIZED,0.3881,,0.0962,0.2839,0.2839,0.0
bio_0412,PARTIAL_RENORMALIZED,0.0,,0.1188,0.0424,0.0424,0.0
bio_0413,PARTIAL_RENORMALIZED,0.5039,,0.0883,0.3555,0.3555,0.0
bio_0414,PARTIAL_RENORMALIZED,0.6,,0.0922,0.4187,0.4187,0.0
bio_0415,PARTIAL_RENORMALIZED,0.2627,,0.0944,0.2026,0.2026,0.0
bio_0416,PARTIAL_RENORMALIZED,0.4238,,0.1037,0.3095,0.3095,0.0
bio_0417,PARTIAL_RENORMALIZED,0.2752,,0.0613,0.1988,0.1988,0.0
bio_0418,PARTIAL_RENORMALIZED,0.4954,,0.1284,0.3643,0.3643,0.0
bio_0419,PARTIAL_RENORMALIZED,0.2673,,0.1202,0.2148,0.2148,0.0
bio_0420,PARTIAL_RENORMALIZED,0.4917,,0.3026,0.4242,0.4242,0.0
bio_0421,PARTIAL_RENORMALIZED,0.05,,0.0199,0.0393,0.0393,0.0
bio_0422,PARTIAL_RENORMALIZED,0.3353,,0.1036,0.2526,0.2526,0.0
bio_0423,PARTIAL_RENORMALIZED,0.3368,,0.1193,0.2591,0.2591,0.0
bio_0424,PARTIAL_RENORMALIZED,0.4427,,0.2743,0.3826,0.3826,0.0
bio_0425,PARTIAL_RENORMALIZED,0.0673,,0.0502,0.0612,0.0612,0.0
bio_0426,PARTIAL_RENORMALIZED,0.6661,,0.0845,0.4584,0.4584,0.0
bio_0427,PARTIAL_RENORMALIZED,0.2431,,0.0873,0.1875,0.1875,0.0
bio_0428,PARTIAL_RENORMALIZED,0.2115,,0.0984,0.1711,0.1711,0.0
bio_0429,PARTIAL_RENORMALIZED,0.05,,0.0643,0.0551,0.0551,0.0
bio_0430,PARTIAL_RENORMALIZED,0.0079,,0.0942,0.0387,0.0387,0.0
bio_0431,PARTIAL_RENORMALIZED,0.2375,,0.0968,0.1873,0.1873,0.0
bio_0432,PARTIAL_RENORMALIZED,0.4896,,0.1728,0.3765,0.3765,0.0
bio_0433,PARTIAL_RENORMALIZED,0.2371,,0.0757,0.1795,0.1795,0.0
bio_0434,PARTIAL_RENORMALIZED,0.6899,,0.0947,0.4774,0.4774,0.0
bio_0435,PARTIAL_RENORMALIZED,0.1051,,0.1436,0.1188,0.1188,0.0
bio_0436,PARTIAL_RENORMALIZED,0.313,,,0.313,0.313,0.0
bio_0437,PARTIAL_RENORMALIZED,0.508,,0.0747,0.3533,0.3533,0.0
bio_0438,PARTIAL_RENORMALIZED,0.5287,,0.113,0.3803,0.3803,0.0
bio_0439,PARTIAL_RENORMALIZED,0.2461,,0.1134,0.1987,0.1987,0.0
bio_0440,PARTIAL_RENORMALIZED,0.5375,,0.3112,0.4567,0.4567,0.0
bio_0441,PARTIAL_RENORMALIZED,0.1036,,0.0596,0.0879,0.0879,0.0
bio_0442,PARTIAL_RENORMALIZED,0.4584,,0.1165,0.3363,0.3363,0.0
bio_0443,PARTIAL_RENORMALIZED,0.3552,,0.138,0.2776,0.2776,0.0
bio_0444,PARTIAL_RENORMALIZED,0.0,,0.2168,0.0774,0.0774,0.0
bio_0445,PARTIAL_RENORMALIZED,0.2273,,0.0615,0.1681,0.1681,0.0
bio_0446,PARTIAL_RENORMALIZED,0.6052,,0.1133,0.4295,0.4295,0.0
bio_0447,PARTIAL_RENORMALIZED,0.3492,,0.1134,0.265,0.265,0.0
bio_0448,PARTIAL_RENORMALIZED,0.4038,,0.0973,0.2943,0.2943,0.0
bio_0449,PARTIAL_RENORMALIZED,0.05,,0.0403,0.0465,0.0465,0.0
bio_0450,PARTIAL_RENORMALIZED,0.4403,,0.0742,0.3096,0.3096,0.0
che_0451,PARTIAL_RENORMALIZED,0.0184,,0.0975,0.0466,0.0466,0.0
che_0452,PARTIAL_RENORMALIZED,0.0,,0.2029,0.0725,0.0725,0.0
che_0453,PARTIAL_RENORMALIZED,0.5475,,0.4968,0.5294,0.5294,0.0
che_0454,PARTIAL_RENORMALIZED,0.8208,,0.212,0.6034,0.6034,0.0
che_0455,PARTIAL_RENORMALIZED,0.5029,,0.1117,0.3632,0.3632,0.0
che_0456,PARTIAL_RENORMALIZED,1.0,,0.1734,0.7048,0.7048,0.0
che_0457,PARTIAL_RENORMALIZED,0.0658,,0.0412,0.057,0.057,0.0
che_0458,PARTIAL_RENORMALIZED,0.4981,,0.4058,0.4651,0.4651,0.0
che_0459,PARTIAL_RENORMALIZED,0.9362,,0.1763,0.6648,0.6648,0.0
che_0460,PARTIAL_RENORMALIZED,1.0,,0.0594,0.6641,0.6641,0.0
che_0461,PARTIAL_RENORMALIZED,0.5499,,0.3461,0.4771,0.4771,0.0
che_0462,PARTIAL_RENORMALIZED,0.8611,,0.1678,0.6135,0.6135,0.0
che_0463,PARTIAL_RENORMALIZED,0.5074,,0.2532,0.4166,0.4166,0.0
che_0464,PARTIAL_RENORMALIZED,1.0,,0.0623,0.6651,0.6651,0.0
che_0465,PARTIAL_RENORMALIZED,0.0,,0.4257,0.152,0.152,0.0
che_0466,PARTIAL_RENORMALIZED,0.5209,,0.0698,0.3598,0.3598,0.0
che_0467,PARTIAL_RENORMALIZED,0.4287,,0.1395,0.3254,0.3254,0.0
che_0468,PARTIAL_RENORMALIZED,0.0,,0.221,0.0789,0.0789,0.0
che_0469,PARTIAL_RENORMALIZED,0.4978,,0.1991,0.3911,0.3911,0.0
che_0470,PARTIAL_RENORMALIZED,0.7503,,0.0377,0.4958,0.4958,0.0
che_0471,PARTIAL_RENORMALIZED,0.3396,,0.1083,0.257,0.257,0.0
che_0472,PARTIAL_RENORMALIZED,1.0,,0.049,0.6604,0.6604,0.0
che_0473,PARTIAL_RENORMALIZED,0.0658,,0.0357,0.0551,0.0551,0.0
che_0474,PARTIAL_RENORMALIZED,0.8134,,0.2067,0.5967,0.5967,0.0
che_0475,PARTIAL_RENORMALIZED,0.5006,,0.1401,0.3719,0.3719,0.0
che_0476,PARTIAL_RENORMALIZED,0.0,,0.0778,0.0278,0.0278,0.0
che_0477,PARTIAL_RENORMALIZED,0.4583,,0.2699,0.391,0.391,0.0
che_0478,PARTIAL_RENORMALIZED,0.9106,,0.0434,0.6009,0.6009,0.0
che_0479,PARTIAL_RENORMALIZED,0.3321,,0.2074,0.2876,0.2876,0.0
che_0480,PARTIAL_RENORMALIZED,1.0,,0.1708,0.7039,0.7039,0.0
che_0481,PARTIAL_RENORMALIZED,0.9952,,0.0806,0.6686,0.6686,0.0
che_0482,PARTIAL_RENORMALIZED,0.83,,0.0523,0.5523,0.5523,0.0
che_0483,PARTIAL_RENORMALIZED,0.501,,0.1492,0.3754,0.3754,0.0
che_0484,PARTIAL_RENORMALIZED,1.0,,0.0942,0.6765,0.6765,0.0
che_0485,PARTIAL_RENORMALIZED,0.15,,0.0361,0.1093,0.1093,0.0
che_0486,PARTIAL_RENORMALIZED,0.8184,,0.1661,0.5855,0.5855,0.0
che_0487,PARTIAL_RENORMALIZED,0.4697,,0.186,0.3684,0.3684,0.0
che_0488,PARTIAL_RENORMALIZED,1.0,,0.2136,0.7192,0.7192,0.0
che_0489,PARTIAL_RENORMALIZED,0.0658,,0.0142,0.0474,0.0474,0.0
che_0490,PARTIAL_RENORMALIZED,0.5004,,0.3896,0.4608,0.4608,0.0
che_0491,PARTIAL_RENORMALIZED,0.4905,,0.1606,0.3727,0.3727,0.0
che_0492,PARTIAL_RENORMALIZED,1.0,,0.2487,0.7317,0.7317,0.0
che_0493,PARTIAL_RENORMALIZED,0.0331,,0.0285,0.0315,0.0315,0.0
che_0494,PARTIAL_RENORMALIZED,0.5434,,0.0634,0.372,0.372,0.0
che_0495,PARTIAL_RENORMALIZED,0.4832,,0.1301,0.3571,0.3571,0.0
che_0496,PARTIAL_RENORMALIZED,0.0,,0.2821,0.1007,0.1007,0.0
che_0497,PARTIAL_RENORMALIZED,0.0658,,0.0069,0.0448,0.0448,0.0
che_0498,PARTIAL_RENORMALIZED,0.8484,,0.1862,0.6119,0.6119,0.0
che_0499,PARTIAL_RENORMALIZED,0.5021,,0.1207,0.3659,0.3659,0.0
che_0500,PARTIAL_RENORMALIZED,0.0,,0.1813,0.0647,0.0647,0.0
new_0501,PARTIAL_RENORMALIZED,0.0,,0.068,0.0243,0.0243,0.0
new_0502,PARTIAL_RENORMALIZED,0.3505,,0.0917,0.2581,0.2581,0.0
new_0503,PARTIAL_RENORMALIZED,0.4591,,0.0465,0.3118,0.3118,0.0
new_0504,PARTIAL_RENORMALIZED,0.4514,,0.0856,0.3208,0.3208,0.0
new_0505,PARTIAL_RENORMALIZED,0.466,,0.0848,0.3299,0.3299,0.0
new_0506,PARTIAL_RENORMALIZED,0.4176,,0.0736,0.2948,0.2948,0.0
new_0507,PARTIAL_RENORMALIZED,0.0,,0.0528,0.0189,0.0189,0.0
new_0508,PARTIAL_RENORMALIZED,0.4923,,0.0742,0.343,0.343,0.0
new_0509,PARTIAL_RENORMALIZED,0.5013,,0.1203,0.3652,0.3652,0.0
new_0510,PARTIAL_RENORMALIZED,0.4752,,0.0607,0.3272,0.3272,0.0
new_0511,PARTIAL_RENORMALIZED,0.0,,0.0678,0.0242,0.0242,0.0
new_0512,PARTIAL_RENORMALIZED,0.3874,,0.0863,0.2799,0.2799,0.0
new_0513,PARTIAL_RENORMALIZED,0.0,,0.0852,0.0304,0.0304,0.0
new_0514,PARTIAL_RENORMALIZED,1.0,,0.1205,0.6859,0.6859,0.0
new_0515,PARTIAL_RENORMALIZED,0.4999,,0.0642,0.3443,0.3443,0.0
new_0516,PARTIAL_RENORMALIZED,0.4983,,0.0688,0.3449,0.3449,0.0
new_0517,PARTIAL_RENORMALIZED,0.5009,,0.0916,0.3547,0.3547,0.0
new_0518,PARTIAL_RENORMALIZED,1.0,,0.2489,0.7318,0.7318,0.0
new_0519,PARTIAL_RENORMALIZED,0.0,,0.08,0.0286,0.0286,0.0
new_0520,PARTIAL_RENORMALIZED,0.3937,,0.0755,0.2801,0.2801,0.0
new_0521,PARTIAL_RENORMALIZED,0.499,,0.0988,0.3561,0.3561,0.0
new_0522,PARTIAL_RENORMALIZED,0.5431,,0.0937,0.3826,0.3826,0.0
new_0523,PARTIAL_RENORMALIZED,0.4446,,0.0811,0.3148,0.3148,0.0
new_0524,PARTIAL_RENORMALIZED,0.4643,,0.0904,0.3308,0.3308,0.0
new_0525,PARTIAL_RENORMALIZED,0.5795,,0.0655,0.396,0.396,0.0
new_0526,PARTIAL_RENORMALIZED,1.0,,0.1112,0.6826,0.6826,0.0
new_0527,PARTIAL_RENORMALIZED,0.4998,,0.0815,0.3504,0.3504,0.0
new_0528,PARTIAL_RENORMALIZED,0.3334,,0.0768,0.2418,0.2418,0.0
new_0529,PARTIAL_RENORMALIZED,0.0,,0.0652,0.0233,0.0233,0.0
new_0530,PARTIAL_RENORMALIZED,1.0,,0.1127,0.6831,0.6831,0.0
new_0531,PARTIAL_RENORMALIZED,0.0,,0.0735,0.0262,0.0262,0.0
new_0532,PARTIAL_RENORMALIZED,0.4166,,0.0581,0.2886,0.2886,0.0
new_0533,PARTIAL_RENORMALIZED,0.4986,,0.0696,0.3454,0.3454,0.0
new_0534,PARTIAL_RENORMALIZED,0.4188,,0.0693,0.294,0.294,0.0
new_0535,PARTIAL_RENORMALIZED,0.0,,0.0622,0.0222,0.0222,0.0
new_0536,PARTIAL_RENORMALIZED,0.4993,,0.0978,0.3559,0.3559,0.0
new_0537,PARTIAL_RENORMALIZED,0.0,,0.0742,0.0265,0.0265,0.0
new_0538,PARTIAL_RENORMALIZED,1.0,,0.054,0.6622,0.6622,0.0
new_0539,PARTIAL_RENORMALIZED,0.4998,,0.0927,0.3544,0.3544,0.0
new_0540,PARTIAL_RENORMALIZED,0.4295,,0.1016,0.3124,0.3124,0.0
new_0541,PARTIAL_RENORMALIZED,0.0,,0.0782,0.0279,0.0279,0.0
new_0542,PARTIAL_RENORMALIZED,0.3882,,0.0476,0.2666,0.2666,0.0
new_0543,PARTIAL_RENORMALIZED,0.0,,0.0568,0.0203,0.0203,0.0
new_0544,PARTIAL_RENORMALIZED,0.4137,,0.0766,0.2933,0.2933,0.0
new_0545,PARTIAL_RENORMALIZED,0.0,,0.1623,0.058,0.058,0.0
new_0546,PARTIAL_RENORMALIZED,0.5354,,0.0824,0.3736,0.3736,0.0
new_0547,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
new_0548,PARTIAL_RENORMALIZED,0.3986,,0.0804,0.285,0.285,0.0
new_0549,PARTIAL_RENORMALIZED,0.0,,0.1139,0.0407,0.0407,0.0
new_0550,PARTIAL_RENORMALIZED,1.0,,0.0676,0.667,0.667,0.0
mat_0551,PARTIAL_RENORMALIZED,0.0,,0.4304,0.1537,0.1537,0.0
mat_0552,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
mat_0553,PARTIAL_RENORMALIZED,0.0,,0.1363,0.0487,0.0487,0.0
mat_0554,PARTIAL_RENORMALIZED,0.2365,,0.2069,0.2259,0.2259,0.0
mat_0555,PARTIAL_RENORMALIZED,0.0,,0.2073,0.074,0.074,0.0
mat_0556,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
mat_0557,PARTIAL_RENORMALIZED,0.5006,,0.161,0.3793,0.3793,0.0
mat_0558,PARTIAL_RENORMALIZED,0.0,,0.1837,0.0656,0.0656,0.0
mat_0559,PARTIAL_RENORMALIZED,0.0,,0.2284,0.0816,0.0816,0.0
mat_0560,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
mat_0561,PARTIAL_RENORMALIZED,0.0,,0.0876,0.0313,0.0313,0.0
mat_0562,PARTIAL_RENORMALIZED,0.3203,,0.0622,0.2281,0.2281,0.0
mat_0563,PARTIAL_RENORMALIZED,0.0,,0.1454,0.0519,0.0519,0.0
mat_0564,PARTIAL_RENORMALIZED,0.7215,,,0.7215,0.7215,0.0
mat_0565,PARTIAL_RENORMALIZED,0.4975,,0.1009,0.3559,0.3559,0.0
mat_0566,PARTIAL_RENORMALIZED,0.3641,,0.0708,0.2594,0.2594,0.0
mat_0567,PARTIAL_RENORMALIZED,0.0,,0.0616,0.022,0.022,0.0
mat_0568,PARTIAL_RENORMALIZED,0.6927,,0.2479,0.5339,0.5339,0.0
mat_0569,PARTIAL_RENORMALIZED,0.0,,0.107,0.0382,0.0382,0.0
mat_0570,PARTIAL_RENORMALIZED,0.3086,,0.0302,0.2092,0.2092,0.0
mat_0571,PARTIAL_RENORMALIZED,0.1807,,0.106,0.154,0.154,0.0
mat_0572,PARTIAL_RENORMALIZED,0.0,,0.33,0.1178,0.1178,0.0
mat_0573,PARTIAL_RENORMALIZED,0.0,,0.1403,0.0501,0.0501,0.0
mat_0574,PARTIAL_RENORMALIZED,0.2126,,0.0306,0.1476,0.1476,0.0
mat_0575,PARTIAL_RENORMALIZED,0.0,,0.161,0.0575,0.0575,0.0
mat_0576,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
mat_0577,PARTIAL_RENORMALIZED,0.4991,,0.1085,0.3596,0.3596,0.0
mat_0578,PARTIAL_RENORMALIZED,0.0,,0.0911,0.0325,0.0325,0.0
mat_0579,PARTIAL_RENORMALIZED,0.0,,0.0641,0.0229,0.0229,0.0
mat_0580,PARTIAL_RENORMALIZED,0.0,,0.1237,0.0442,0.0442,0.0
mat_0581,PARTIAL_RENORMALIZED,0.0216,,0.0558,0.0338,0.0338,0.0
mat_0582,PARTIAL_RENORMALIZED,0.3812,,0.0819,0.2743,0.2743,0.0
mat_0583,PARTIAL_RENORMALIZED,0.0,,0.1283,0.0458,0.0458,0.0
mat_0584,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
mat_0585,PARTIAL_RENORMALIZED,0.0,,0.1432,0.0511,0.0511,0.0
mat_0586,PARTIAL_RENORMALIZED,0.0,,0.1135,0.0405,0.0405,0.0
mat_0587,PARTIAL_RENORMALIZED,0.0,,0.2224,0.0794,0.0794,0.0
mat_0588,PARTIAL_RENORMALIZED,0.9514,,0.095,0.6456,0.6456,0.0
mat_0589,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
mat_0590,PARTIAL_RENORMALIZED,0.0,,0.0729,0.026,0.026,0.0
mat_0591,PARTIAL_RENORMALIZED,0.0,,0.1127,0.0402,0.0402,0.0
mat_0592,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
mat_0593,PARTIAL_RENORMALIZED,0.5023,,0.0933,0.3562,0.3562,0.0
mat_0594,PARTIAL_RENORMALIZED,0.0,,0.0876,0.0313,0.0313,0.0
mat_0595,PARTIAL_RENORMALIZED,0.1037,,0.143,0.1177,0.1177,0.0
mat_0596,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
mat_0597,PARTIAL_RENORMALIZED,0.4955,,,0.4955,0.4955,0.0
mat_0598,PARTIAL_RENORMALIZED,0.0,,0.0689,0.0246,0.0246,0.0
mat_0599,PARTIAL_RENORMALIZED,0.0,,0.1178,0.0421,0.0421,0.0
mat_0600,PARTIAL_RENORMALIZED,0.0,,,0.0,0.0,0.0
geo_0601,PARTIAL_RENORMALIZED,0.4994,,0.1041,0.3582,0.3582,0.0
geo_0602,PARTIAL_RENORMALIZED,0.997,,0.0241,0.6496,0.6496,0.0
geo_0603,PARTIAL_RENORMALIZED,0.5222,,0.0504,0.3537,0.3537,0.0
geo_0604,PARTIAL_RENORMALIZED,0.5714,,0.1195,0.41,0.41,0.0
geo_0605,PARTIAL_RENORMALIZED,0.05,,0.3305,0.1502,0.1502,0.0
geo_0606,PARTIAL_RENORMALIZED,0.7822,,0.1155,0.5441,0.5441,0.0
geo_0607,PARTIAL_RENORMALIZED,0.988,,0.5257,0.8229,0.8229,0.0
geo_0608,PARTIAL_RENORMALIZED,0.8149,,0.2263,0.6047,0.6047,0.0
geo_0609,PARTIAL_RENORMALIZED,0.1553,,0.2915,0.2039,0.2039,0.0
geo_0610,PARTIAL_RENORMALIZED,0.1425,,0.0844,0.1218,0.1218,0.0
geo_0611,PARTIAL_RENORMALIZED,0.9985,,0.4921,0.8177,0.8177,0.0
